"comicName","comicSummary","comicGrade"
"타챠노트","프리랜서일기","9.76"
"스윗칵테일","Self Made","9.39"
"아빠는여섯살","아빠 4컷 그림일기","9.94"
"봉츄자매라옹","웃기는 고양이자매","9.80"
"158동진상부부","부부의 진짜 일상","9.13"
"나의수상한행성","소년 소녀와 소년","9.88"
"외국in한국","영국인의한국생활","9.86"
"마이데이","순정,학업로맨스","9.68"
"마법소년근무일지","","9.66"
"엑소니클","퇴마사 이야기","9.80"
"충충의하루","충충의 하루","9.60"
"발버둥치다","우울증 이야기","9.91"
"무대에서지않지만배우입니다","배우 지망생 이야기","9.84"
"빛보다찬란한그대",".","9.90"
"홈스윗홈","네식구 사는 이야기","9.85"
"우로보로스","호러판타지 로맨스","9.28"
"루텔","력家네","9.90"
"빵뽀시래기","빵집 알바 해봤니?","9.86"
"1인크리에이터","유X버 & bXj","8.86"
"육식토끼","평범 콤플렉스 토끼","9.90"
"홍시관찰일기","아기를 싫어하던 여자가 아기를 낳았다!","9.83"
"사랑하는계절","9일19일29일연재","9.60"
"구나의그랬구나","어린이집 교사냥이","9.92"
"여긴어디","칭다오 일상툰","9.91"
"ㅎㅋ고모리","은둔형 외톨이인 모리의 성장일기","9.27"
"나비를찾아서","우리는 마녀다!","9.85"
"여우자매","여우자매,일상판타지","9.93"
"1시간30분","비글과 아웃사이더","9.89"
"CMYK","의식의 흐름 만화","9.06"
"정글짐위에올라","우리의 초딩 시절","9.93"
"나의작은조","공룡집사의 반려인간","9.90"
"안녕외교국","SF 감성 판타지","9.54"
"현세이의보이는라디오","현세이입니다!","9.90"
"스투피즈","새내기 생활툰","9.91"
"블랙펄:둥근창의세계","돈이궁한 용병이야기","9.74"
"루이와졸개들R","나만알고싶은 양아치","9.76"
"불편해요,선배님!","캠퍼스 로맨스","9.93"
"사막화花","본격 식물 판타지","9.69"
"디언더사이즈드(THEUNDERSIZED)","고등학교농구부이야기","9.60"
"아버지이야기","아버지 들려주는..","9.81"
"백일몽화원","7,17,27일연재","9.72"
"이딴여행","여행포토툰","9.77"
"일찍자고일찍일어나기","아침형 뱀파이어","9.92"
"우리집강아지는복슬강아지","댕댕이와의 일상:3","9.93"
"앨리스를위하여","새로운앨리스이야기","9.86"
"저승화랑전","악덕 상사와 나","9.93"
"츤데레","남정네 넷의 츤츤","9.87"
"육묘일기","고양이 일상툰","9.92"
"존버닥터","섬탈출까지 존버해라","9.48"
"그림자게임","시즌2 시작합니다.","9.88"
"뫼비우스의소설","오각관계 드라마","9.78"
"우리는예상치못하게","그럴 때가 있잖아요","9.92"
"너를만나다","어느날 너를 만나다","9.92"
"안녕,나의길고양이","길고양이와 공대생","9.93"
"오늘부터날아!","신나는 배구","9.85"
"랜드라이프","상어의 육지 생활","9.90"
"지나온길","그들의 추억팔이","9.61"
"채식주의자의애완채소","스릴러, 리메이크중","9.86"
"이상과현실","일상의 철학","9.93"
"나의비거니즘만화","비건의 일상","8.64"
"멋도모르는여자","일상부부툰","9.83"
"우리는친한친구","친한친구 이야기","9.63"
"불만있어?","실화119 웹툰","9.87"
"애정이필요해","불안장애 극복기","9.78"
"쉼터에살았다","쉼터 생활툰","9.92"
"사쟈툰","사쟈를 그립니다.","8.84"
"만화임진왜란","쉽게 보는 임진왜란","9.79"
"아이고아이고","삶과 죽음의 이야기","8.61"
"숲","사연을 그리는 만화","9.92"
"인더하우스","동거 로맨스","9.85"
"헛어른","어른이라고 하기엔 아직 부족한 것 같고, 마냥 젊다고 하기엔 어느덧 적지 않은 나이. 그래서 때론 당황스럽기도 하고 서툴기도 한 우리들. ‘헛어른’은 그런 우리들의 이야기입니다.","9.85"
"무엇이든그려드립니닷!","무엇이든그려드립니닷","9.90"
"같이꽃길걸을까요?","군화곰신커플 일상툰","9.65"
"런어웨이","초능력 소녀,그의 소유물이 되다","9.80"
"천진난만하루","천진이의 일상이야기","9.93"
"마물전담부대","마물을 사냥하는부대","9.90"
"판타지TV","판타지의 인터넷방송","9.72"
"윤이나는남자","여자같은 남자","9.38"
"로단테","판타지 활극 드라마","9.85"
"오묘한가족","오묘한가족의 이야기","9.88"
"Jun과나","실화에서 시작된 예대속 색있는 사람들의 색있는 이야기.","9.89"
"내열정은최고조!","한남자의 청춘속 열정적인 일상 에피소드","9.57"
"엑스트라Z씨","Z씨의 발버둥","9.94"
"기행공포단편집","공포만화 단편선","9.91"
"광해와이순신","광해와 이순신","9.74"
"은룡여린설","신과 인간의 이야기","9.90"
"미용사:LOSTHERO","전직용사현직미용사!","9.78"
"마이툰","두딸키우는 아재일상","9.67"
"유진의환상특급열차","유진의 여행기","9.91"
"윈터하츠","연금술사들의 이야기","9.93"
"서유기:손오공의모험","손오공의 서천여행기","9.57"
"목소리의그늘","훈남 전문 성우들!","9.80"
"지극히평범한생활","말만 평범한 일상툰","9.91"
"좋은개나쁜개이상한개그리고고양이","강아지 사회화 교육","9.73"
"쓰레기머학생","답없는 대학생 일상","9.86"
"원인탐구생활:아리보리","육묘일기","9.90"
"공대생툰","공대생의 일상","9.78"
"산군대잔치","산군의 일상툰","9.93"
"웰시네부부에세이","삶 고찰 그림에세이","9.59"
"뚜벅뚜벅,비혼라이프","비혼 여성의 일상","9.82"
"수영만화일기","저질체력,수영-하다","9.86"
"어바웃페이스","10대들의이야기","9.51"
"윤덩까툰시즌2","영국_일상_로맨스","9.71"
"원더키퍼","너를 지키는","9.93"
"사인검","액션활극 동양판타지","9.84"
"오늘도먹음머금","밥 먹는 두 친구","9.81"
"양지리정신병원","정신병원에 갇히다","9.19"
"신과의대화","특별한 능력의 소년과 특이한 사연의 소녀의 만남! 그 만남이 가져오는 다양한 사건들. 그리고 운명!","9.87"
"내매력에퐁당","내 매력에 퐁당!","9.67"
"부부사기단늬우스","수요일 연재","9.82"
"우당탕탕학교가자!","본격! 여고생툰","9.75"
"운명같은소리하네","나와 이어진 운명은","9.93"
"사라생전","김서방과 판타지","9.88"
"생기발랄다이어리","대안학교 이야기","9.54"
"라면순대","30대의 웃긴 일상","9.74"
"스타체이서","친구에게","9.87"
"텃밭부사건일지","명랑쾌활 살인추리극","9.87"
"아파트용사","아싸인생 이세계로!","9.25"
"헬로사이공","따뜻한 이야기들","9.88"
"잔액이부족합니다","대중교통 일상툰","9.93"
"뱀파이어클럽의혈투","뱀파이어클럽의 혈투","8.84"
"분노의난임일기","난임 정복 웹툰!","9.85"
"날것","해묵은 그림 일기장","8.46"
"이런우정","유쾌한 친구들 얘기","9.88"
"중독연구소","우리의 중독 이야기","9.61"
"투마로홈","매일 다른곳?","9.06"
"수상한가족협정","우리가 누구게?","9.88"
"신속한세계","판타지 모험 만화","9.25"
"마법약사","포션장사하는 이야기","9.95"
"눈깔소녀","어느날 갑자기","9.86"
"봉산코믹스","비극과희극 단편선","9.81"
"이브의꿈속친구","꿈에서 만난 친구","9.81"
"제소원을들어주세요!","중요한걸 잊고있었어","9.85"
"선선한이야기","프리랜선선","9.68"
"씨름","씨름 뒤집기 한판!","8.99"
"일상견문록","다른나라 일상이야기","9.76"
"찔레꽃그너머","임진왜란과 서민의삶","9.89"
"저승파견고용직","기묘한 만화","9.92"
"이데아프로젝트","능력자 판타지","9.81"
"서폿저택에어서오세요","서폿만 사는 저택","9.83"
"나눠먹는로맨스","음식&로맨스","9.67"
"제목이7080만화","7080 이야기","9.89"
"지금은여관주인!!","판타지속 여관이야기","9.92"
"조금수상한연애시뮬레이션","빛나라☆진심의♥하트","9.79"
"너구리네육아일기","육아일기","9.85"
"솔로의연애","연애할 수 있을까~","9.93"
"곰팡남녀","보통의 경계","9.91"
"미세만화주의보","저 세상 단편","9.69"
"나의작은여우별","소원의 여우별","9.93"
"파리스의선택","그리스 신화 회귀물","9.93"
"당할연","당신도할수있다연애","7.62"
"중딩툰","중딩이 그리는 웹툰","9.49"
"중등생활보고서","현실 중딩 보고서","8.97"
"매일집밥한그릇","셀프요리툰","9.89"
"전지적덕후시점","나의 덕질 라이프","9.58"
"벽","미스터리 SF 단편","9.84"
"함께할때까지","바카랑호두랑도마뱀","9.47"
"바람따라물따라","역사인물만화","9.79"
"매지컬팡","명랑만화 매지컬팡","9.90"
"스톤에이지","스릴러 판타지","9.88"
"폭렬!!극강초맹반","슈트액션 SF무협","9.74"
"재미개발","IT개발자들 이야기","9.79"
"저주와별가루","저주와 별가루","9.80"
"꽃밭에서","잊어버린 것","9.90"
"헌트","어디에 있는가","9.77"
"완벽한이별","사랑은 뭘까?","9.89"
"브레인스톰","기억들의 배틀로얄","9.93"
"에밀리이야기","어딘지 학교가 익숙하지 않은 에밀리의 학교적응 이야기","9.80"
"사업왕심길후","사업왕 심길후","9.61"
"드래곤메이커","용키우는만화","9.89"
"특이점2045","A.I.로봇VS인간","9.92"
"IDOL","전지적 연습생 시점","9.68"
"오늘도분홍했분홍","일상힐링툰","9.85"
"네가꿈꾸는동안에","꿈으로 드러난 범죄","9.92"
"엘레노이아타락시아","판타지로맨스드라마","9.89"
"도원향","우주경찰서 도원향","9.86"
"시간의뒷면","위험한 시간여행","9.04"
"괜찮아,고3이야","너와나의 리얼고3툰","9.91"
"채똘일기","채똘일기","9.50"
"불러줘내이름만","캠퍼스 로맨스","9.88"
"회사원채대리","회사원 만화","9.81"
"오늘의후기","매일 살아가는 후기","9.78"
"탑코너","고교 축구드라마","8.85"
"죽음과동화","호러.판타지.로맨스","9.89"
"숙천","단 한 번뿐인 생.","9.75"
"자체공강","대학물인척하는 만화","9.91"
"술타는청춘","청춘들의 개그 일상","9.70"
"갓도령스","꽃도령아이돌 로맨스","9.89"
"캐세랑세라","디스 이즈 러브!","9.93"
"20&21세기남매","9살차남매일상툰!","9.57"
"TwinsLoveStory(트윈스러브스토리)","쌍둥이의 사랑이야기","9.86"
"이상한낙원의넬리쉬","이세계? 이상세계!","9.74"
"좋운날","좋운날 보내셨나요?","9.93"
"여자공수혁","수혁이 학원기","9.93"
"일타쌍피-흑-","쌍둥이 일기","9.67"
"일타쌍피-백-","쌍둥이 일기","9.79"
"웰캄투실버라이프","할머니! 할아버지!","9.93"
"파차마마의마법","위험천만 남미여행기","9.87"
"다이아리","데이트폭력에 관하여","9.85"
"오늘을담다.","도시락 일상이야기","9.93"
"주작작주주작","영짐승 배틀물","9.67"
"슬픔을먹는남자","성장물,감성,판타지","9.91"
"식빵고양이파운드캣","식빵을 닮은 고양이","9.92"
"후덜덜덜남극전자","즐거운 회사생활","9.84"
"주근깨가쵸","의도치 않은 모험","9.72"
"림딩동","캠퍼스 농구만화","9.74"
"웃지않는여자","뒤엉킨 과거","9.80"
"시간이머문집","수수께끼 판타지","9.93"
"숲의향연","으로 초대합니다.","9.83"
"나도옷잘입고싶다","패고의 패션만화","9.92"
"몬스터커맨더F","몬스터 판타지","9.89"
"수의사그리는미대생","수의사&미대생의 삶","9.83"
"월국(月國)의프락세이스","소년과 세계,스피릿","9.70"
"빨간고백","다시 돌아온 너에게","9.79"
"누나한입만화","4컷 일상 먹툰","9.90"
"아틀레냐비바체","그림작가 모집","9.86"
"아틀레냐","치유계 판타지","9.87"
"B와당신","흡혈귀 여자친구","9.63"
"감각의어빌러티","감각능력으로싸운다!","9.79"
"틈","틈을파고드는 이야기","9.83"
"고양이로살고있습니다","고양이 지식, 일상","9.90"
"우리집에최애캐!","최애캐와 동거하자!","9.76"
"이과지옥","이과 발암만화","9.78"
"베이퍼정키스","퓨처 느와르","9.31"
"능력안경","안경장르 만화","9.90"
"마음의온도","마음의 온도","9.87"
"보이지않는사람","보이지 않는 사랑","9.00"
"인비트윈","판타지액션,자유연재","9.85"
"상실의계절","소프트 BL","9.74"
"신의마녀","자칭마녀와신비한소년","9.91"
"라스오브이블","2차 세계대전 SF","9.57"
"이리(iri)","윤회판타지/자유연재","9.58"
"다시돌아온","다시 돌아온","9.53"
"정령왕즈","정령왕들이 조잘조잘","9.87"
"압락사스","살인자 vs 사이비","9.71"
"도도도","도도의 이야기","9.81"
"살문(殺門)","살인과 관상","9.64"
"왕과그림자와여자","자유연재입니다^^","9.79"
"너의여집합","네가 없는 세상","9.79"
"이상낙원","마법 학원 판타지","9.83"
"닥터앤닥터육아일기","최강학력 육아일기","9.96"
"우리에게내일은","SF판타지 액션활극","9.53"
"픽셔너","그들의 이상한 일상","9.71"
"라텔론","근미래속의 마법사","9.38"
"강가네","사남매 가족 적응기","9.91"
"빌린몸","두근두근 순정만화","9.83"
"쿤도브라더스","개와 고양이의 동거","9.91"
"신선비","한 뱀신랑의 이야기","9.89"
"달무리의밤","고려시대 사랑이야기","9.79"
"나를찾아줘","의사와 의대생","9.44"
"맹랑맘마MEMORY","다시 쓰는 일기","9.84"
"오늘도사랑하세요","인싸 큐피드 되기!","9.93"
"왕립루브리카종합학원","판타지학원물","9.91"
"휴지통","잔부스러기같은 행복","9.87"
"울트라바이올렛","공대생vs뱀파이어","9.83"
"신비한마녀도감","유니콘덕후마녀의비밀","9.92"
"도화","동양 액션 판타지.","9.89"
"광고감독의발암일기","광고감독의 웃픈일상","9.73"
"소피아가머리카락을쓸어넘길때","학원 일상 추리","9.90"
"숲속의성","허기, 혹은 사랑","9.86"
"페카텀","신과 사제의 이야기","9.76"
"마녀가잠든사이에","마녀와 잔혹동화","9.86"
"비차의캘리툰,첫단추","스무살, 첫 단추.","9.86"
"하필너야?!","그녀와 그 고양이","9.76"
"노바","코지 미스테리 로판","9.89"
"여왕의계절","시대극 판타지 웹툰","9.87"
"은하!","정 식 연 재","9.88"
"전지적귀신시점","귀신만화.","9.90"
"플래닛자이언","월드와이드 SF극화","9.41"
"그래도같이살자","고양이 일상툰","9.88"
"십장르","너 장르가 뭐야?","8.34"
"무감각자들-짐승의지뢰밭","무감자,스릴러로맨스","9.61"
"너나들이","20대남녀연애이야기","9.91"
"뿌리네이야기","매일 가족 명랑 만화","9.77"
"나는부활마법을가졌다","부활판타지","9.86"
"치즈범벅","치즈고양이형제 일상","9.83"
"슬기는슬기를싫어해!","두소녀의 성장드라마","9.54"
"오늘은꼭고백할거야!","두 남자의 고백공략","9.92"
"사귀자","웹툰작가와 귀신 팬","9.87"
"3번째도막","개그 일상 이야기","9.93"
"아더의왕국","왕국의 주인은?","9.89"
"(구)여우야여우야","여우와 친구들","9.75"
"세모와동그라미","나보다외로운사람에게","9.89"
"개인사생활","죽고 나서야 갖게 된 안정적인 삶","9.62"
"1인칭외국인시점","프랑스 관찰일기","9.89"
"컬러풀아이덴티티","패션디자인 학원물","9.64"
"비김어게인IN한국[캐나다에도산다시즌2]","여여커플 일상툰","9.74"
"횡설수설다이어리","40대 가장의 일상","9.33"
"자각몽","자각몽을 꾸는 소녀","9.88"
"프리즘","무의식의 색","9.92"
"젤리빈하우스","신비의 보석 젤리빈,그리고 한 명의 마법사.","9.81"
