shopname,addr,telephone,latitude,longitude
역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),02-568-3762,37.613433,127.077484
논현역사거리,서울특별시 강남구 강남대로 538 (논현동),02-3442-3672,37.613433,127.077484
국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),02-568-3668,37.613433,127.077484
대치대원빌딩R,서울특별시 강남구 남부순환로 2947 (대치동),02-568-3704,37.613433,127.077484
삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),02-568-3648,37.613433,127.077484
압구정R,서울특별시 강남구 언주로 861 (신사동),02-541-3622,37.613433,127.077484
수서역R,서울특별시 강남구 광평로 281 (수서동),02-6181-3688,37.613433,127.077484
양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),02-571-3604,37.613433,127.077484
선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),02-2051-3562,37.613433,127.077484
봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),02-539-3564,37.613433,127.077484
강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),02-557-3484,37.613433,127.077484
스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동),02-6002-3467,37.613433,127.077484
강남구청정문,서울특별시 강남구 학동로 419 (청담동),02-514-3397,37.613433,127.077484
도곡공원,서울특별시 강남구 도곡로 205 (역삼동),02-565-3496,37.613433,127.077484
강남R,서울특별시 강남구 강남대로 390 (역삼동),02-561-3478,37.613433,127.077484
대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),02-554-3315,37.613433,127.077484
청담영동대로,서울특별시 강남구 영동대로 720 (청담동),02-3443-3371,37.613433,127.077484
압구정,서울특별시 강남구 압구정로30길 17 (신사동),02-541-3306,37.613433,127.077484
신사가로수,서울특별시 강남구 압구정로12길 32 (신사동),02-3446-3356,37.613433,127.077484
청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),02-514-3364,37.613433,127.077484
강남우성,서울특별시 강남구 강남대로 328 (역삼동),02-565-3347,37.613433,127.077484
학동사거리,서울특별시 강남구 도산대로 328 (논현동) HS빌딩,02-758-8971,37.613433,127.077484
대치사거리,서울특별시 강남구 삼성로 402 (대치동),02-561-3287,37.613433,127.077484
포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,02-554-3235,37.613433,127.077484
을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",02-758-8896,37.613433,127.077484
신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,02-758-8848,37.613433,127.077484
도곡역,서울특별시 강남구 남부순환로 2909 (대치동),02-758-8809,37.613433,127.077484
서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,02-758-8798,37.613433,127.077484
청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,02-758-8726,37.613433,127.077484
한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",02-758-8683,37.613433,127.077484
역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),02-758-8739,37.613433,127.077484
코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) 코엑스,02-758-8733,37.613433,127.077484
가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",02-758-8661,37.613433,127.077484
역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",02-758-8626,37.613433,127.077484
역삼포스코,"서울특별시 강남구 테헤란로 134, P&S TOWER (역삼동)",02-758-8631,37.613433,127.077484
강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",02-758-8624,37.613433,127.077484
청담,"서울특별시 강남구 도산대로 532, 인희빌딩 1층 (청담동)",02-758-8659,37.613433,127.077484
삼성도심공항,서울특별시 강남구 테헤란로87길 33 (삼성동),02-758-8635,37.613433,127.077484
삼성교,"서울특별시 강남구 영동대로86길 12, ,9,10번지 동남유화빌딩 (대치동)",02-758-8592,37.613433,127.077484
학동역,서울특별시 강남구 논현로 704 (논현동),02-758-8101,37.613433,127.077484
대치,서울특별시 강남구 도곡로 511 (대치동),02-758-8063,37.613433,127.077484
기술센터,"서울특별시 강남구 테헤란로 305, 한국기술센터 1층 (역삼동)",02-6009-3410,37.613433,127.077484
SSG마켓도곡R,"서울특별시 강남구 언주로30길 57, 타워팰리스Ⅱ F 지하1층 (도곡동)",02-2191-1219,37.613433,127.077484
삼성,"서울특별시 강남구 테헤란로 443, 애플트리타워 1층 (삼성동)",02-758-8038,37.613433,127.077484
선릉세화빌딩,"서울특별시 강남구 테헤란로64길 18, 세화빌딩 1층 (대치동)",02-758-8028,37.613433,127.077484
압구정역,"서울특별시 강남구 압구정로 170, 관영빌딩 1층 지하1층 (신사동)",02-758-8013,37.613433,127.077484
압구정로,서울특별시 강남구 압구정로42길 32 (신사동),02-758-8231,37.613433,127.077484
구역삼사거리,서울특별시 강남구 논현로 401 (역삼동),02-758-8247,37.613433,127.077484
큰길타워,"서울특별시 강남구 테헤란로 223, 큰길타워빌딩 (역삼동)",02-758-8116,37.613433,127.077484
강남구청역,"서울특별시 강남구 선릉로 669, 웰빙센터 1층 (논현동)",02-758-8119,37.613433,127.077484
대치역,"서울특별시 강남구 남부순환로 2936, 원플러스 상가107호 (대치동)",02-758-8120,37.613433,127.077484
포이,서울특별시 강남구 논현로 88 (개포동),02-758-8122,37.613433,127.077484
아크플레이스,서울특별시 강남구 테헤란로 142 (역삼동),02-758-8158,37.613433,127.077484
학여울역,서울특별시 강남구 영동대로 215 (대치동),02-758-8151,37.613433,127.077484
선정릉역,서울특별시 강남구 봉은사로 407 (삼성동) 에프오빌딩,02-758-8970,37.613433,127.077484
삼성현대힐,서울특별시 강남구 삼성로 605 (삼성동),02-758-8278,37.613433,127.077484
GS타워,서울특별시 강남구 논현로 508 (역삼동),02-758-8129,37.613433,127.077484
압구정미소,서울특별시 강남구 논현로 841 (신사동),02-758-8109,37.613433,127.077484
선릉역,"서울특별시 강남구 테헤란로 334, LG화재 빌딩 (역삼동)",02-758-8108,37.613433,127.077484
수서,서울특별시 강남구 밤고개로1길 10 (수서동) 수서현대벤쳐빌 지하2층,02-758-8165,37.613433,127.077484
코엑스사거리,서울특별시 강남구 영동대로 616 (삼성동),02-758-8478,37.613433,127.077484
역삼럭키,서울특별시 강남구 도곡로 183 (역삼동),02-758-8463,37.613433,127.077484
차병원사거리,"서울특별시 강남구 봉은사로 213, 센트럴타워 (논현동)",02-758-8444,37.613433,127.077484
청담공원,서울특별시 강남구 학동로 506 (삼성동),02-758-8394,37.613433,127.077484
신압구정,서울특별시 강남구 언주로174길 29 (신사동),02-758-8398,37.613433,127.077484
아크로힐스논현,"서울특별시 강남구 봉은사로 304, 금강빌딩 1-2층 (역삼동)",02-758-8317,37.613433,127.077484
뱅뱅사거리,서울특별시 강남구 강남대로 282 (도곡동),02-758-8325,37.613433,127.077484
강남비젼타워,"서울특별시 강남구 테헤란로2길 27, 1층 101호 (역삼동)",02-758-8492,37.613433,127.077484
역삼역,"서울특별시 강남구 테헤란로 145, 우신빌딩 1층 (역삼동)",02-758-8314,37.613433,127.077484
압구정로데오역,"서울특별시 강남구 선릉로 836, 삼원빌딩 1,2층 (청담동)",02-758-8345,37.613433,127.077484
르네상스사거리,서울특별시 강남구 테헤란로 306 (역삼동),02-758-8321,37.613433,127.077484
포스코,"서울특별시 강남구 삼성로86길 7, 1층 (대치동)",02-758-8331,37.613433,127.077484
선릉로,"서울특별시 강남구 선릉로93길 22, 대흥빌딩 1층 (역삼동)",02-758-8552,37.613433,127.077484
삼성역,서울특별시 강남구 테헤란로103길 9 (삼성동),02-758-8585,37.613433,127.077484
논현힐탑,서울특별시 강남구 논현로 648 (논현동),02-758-8426,37.613433,127.077484
도산가로수길,"서울특별시 강남구 도산대로 134, 2층 (논현동)",02-758-8429,37.613433,127.077484
미아뉴타운,서울특별시 강북구 삼양로 161 (미아동),02-980-3341,37.613433,127.077484
강북구청사거리,서울특별시 강북구 도봉로 365 (수유동),02-758-8944,37.613433,127.077484
미아사거리역,서울특별시 강북구 도봉로 32 (미아동),02-758-8859,37.613433,127.077484
수유역,서울특별시 강북구 도봉로 342 (번동),02-758-8104,37.613433,127.077484
미아역,서울특별시 강북구 도봉로 196 (미아동),02-758-8500,37.613433,127.077484
우장산역,서울특별시 강서구 강서로 267 (내발산동),02-2664-2624,37.613433,127.077484
마곡사이언스타워R,서울특별시 강서구 마곡동로 62 (마곡동),02-2659-3585,37.613433,127.077484
방화DT,서울특별시 강서구 방화대로 375 (방화동),02-2664-3480,37.613433,127.077484
마곡나루역,서울특별시 강서구 마곡중앙로 161-17 (마곡동),02-3662-3504,37.613433,127.077484
마곡GMG,"서울특별시 강서구 마곡중앙6로 16 (마곡동) 117,118,119,120호",02-2659-3404,37.613433,127.077484
가양역,서울특별시 강서구 양천로 476 (등촌동),02-3661-3418,37.613433,127.077484
화곡DT,서울특별시 강서구 등촌로 57 (화곡동),02-2648-3257,37.613433,127.077484
양천향교역,서울특별시 강서구 강서로 463 (마곡동),02-2658-3312,37.613433,127.077484
화곡동,서울특별시 강서구 화곡로 142(화곡동),02-758-8881,37.613433,127.077484
등촌,서울특별시 강서구 공항대로 329 (등촌동),02-758-8883,37.613433,127.077484
염창역,서울특별시 강서구 공항대로 627 (염창동),02-758-8694,37.613433,127.077484
발산역,서울특별시 강서구 강서로 388 (등촌동) 그랜드마트,02-758-8720,37.613433,127.077484
가양이마트,"서울특별시 강서구 양천로 559, 가양이마트 1층 (가양동)",02-758-8070,37.613433,127.077484
까치산역,서울특별시 강서구 강서로13길 3 (화곡동),02-758-8538,37.613433,127.077484
관악서울대입구R,서울특별시 관악구 관악로 158 (봉천동),02-883-3725,37.613433,127.077484
신림DT,서울특별시 관악구 남부순환로 1419 (신림동),02-851-3283,37.613433,127.077484
서울대역,서울특별시 관악구 남부순환로 1817 (봉천동),02-876-3252,37.613433,127.077484
낙성대DT,서울특별시 관악구 남부순환로 1948 (봉천동),02-872-3249,37.613433,127.077484
사당,서울특별시 관악구 남부순환로 2082-25,02-758-8721,37.613433,127.077484
보라매대교,"서울특별시 관악구 보라매로3길 23, 대교빌딩 1층 (봉천동)",02-758-8629,37.613433,127.077484
신림사거리,서울특별시 관악구 남부순환로 1619 (신림동),02-758-8645,37.613433,127.077484
신림,서울특별시 관악구 신림로 355-1 (신림동),02-758-8290,37.613433,127.077484
신림역포도몰,"서울특별시 관악구 신림로 330, PODO MALL 1층 101 일부 (신림동)",02-758-8286,37.613433,127.077484
서울대입구역,서울특별시 관악구 남부순환로 1812 (봉천동),02-758-8460,37.613433,127.077484
어린이대공원역,서울시 광진구 능동로243,02-464-3656,37.613433,127.077484
아차산역,서울시 광진구 천호대로 676,02-455-3637,37.613433,127.077484
올림픽대교북단,서울특별시 광진구 광나루로 608 (구의동),02-453-3514,37.613433,127.077484
구의DT,서울특별시 광진구 광나루로 519 (구의동),02-758-8901,37.613433,127.077484
자양사거리,서울특별시 광진구 아차산로 355,02-758-8865,37.613433,127.077484
군자역,서울특별시 광진구 천호대로 548 (군자동) 중앙빌딩,02-758-8748,37.613433,127.077484
광나루,"서울특별시 광진구 아차산로 607, 1,2층 (광장동)",02-758-8648,37.613433,127.077484
건대스타시티,서울특별시 광진구 아차산로 262 (자양동),02-758-8197,37.613433,127.077484
자양,서울특별시 광진구 능동로 50 (자양동),02-758-8159,37.613433,127.077484
